ts_code,trade_date_x,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,trade_date_y,close_y,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,symbol,name,area,industry,market,list_date
000530.SZ ,20210412,4.0,4.03,3.92,3.93,3.99,-0.06,-1.5038,88398.0,35085.65,20210412,3.93,1.4767,2.0669,0.81,37.1871,,0.9867,1.809,1.932,0.7634,0.7634,84321.2507,59860.6016,42768.9082,331382.5153,235252.1643,000530,冰山冷热,辽宁,机械基件,主板,19931208
000531.SZ ,20210412,9.6,9.77,9.4,9.56,9.69,-0.13,-1.3416,115266.37,110219.346,20210412,9.56,1.6825,4.0,0.5,8.3973,8.3973,1.2887,1.8918,1.8918,1.046,1.046,68508.282,68508.282,28816.3546,654939.1759,654939.1759,000531,穗恒运A,广东,火力发电,主板,19940106
000532.SZ ,20210412,11.45,11.68,11.28,11.56,11.35,0.21,1.8502,116698.96,134571.126,20210412,11.56,3.3969,6.7063,1.64,24.4526,24.4526,3.9856,7.737,7.737,0.2595,0.2595,34470.834,34354.9746,17401.3421,398482.841,397143.5064,000532,华金资本,广东,多元金融,主板,19940103
000533.SZ ,20210412,3.18,3.26,3.12,3.19,3.16,0.03,0.9494,189846.13,60698.845,20210412,3.19,2.7719,4.5469,1.08,25.6459,25.6459,3.1664,1.4913,1.4913,,,69081.6,68490.24,41752.8232,220370.304,218483.8656,000533,顺钠股份,广东,电气设备,主板,19940103
000534.SZ ,20210412,12.19,13.0,12.11,12.77,12.16,0.61,5.0164,38038.67,48215.475,20210412,12.77,0.7739,1.6418,3.89,89.4322,107.2762,6.3661,11.5186,12.1472,0.389,0.389,49496.3096,49150.7596,23168.827,632067.8736,627655.2001,000534,万泽股份,广东,生物制药,主板,19940110
000536.SZ ,20210412,3.1,3.1,3.01,3.02,3.08,-0.06,-1.9481,157236.61,47868.919,20210412,3.02,0.5691,1.1813,0.88,13.6637,13.6637,1.5233,3.8076,3.8076,,,276603.2803,276308.2516,133105.8708,835341.9065,834450.9198,000536,*ST华映,福建,元器件,主板,19931126
000537.SZ ,20210412,5.7,5.75,5.67,5.75,5.71,0.04,0.7005,35087.0,20093.352,20210412,5.75,0.2027,0.7892,1.2,3.4084,4.1312,0.7112,0.4659,0.4529,5.2174,5.2174,186252.072,173140.6933,44461.1083,1070949.414,995558.9865,000537,广宇发展,天津,区域地产,主板,19931210
000538.SZ ,20210412,115.12,115.12,110.6,111.2,115.17,-3.97,-3.4471,71885.14,806795.03,20210412,111.2,1.1938,1.5621,0.91,25.7515,25.7515,3.7329,4.3383,4.3383,2.6978,2.6978,127740.3317,60216.6957,46016.8015,14204724.885,6696096.5618,000538,云南白药,云南,中成药,主板,19931215
000539.SZ ,20210412,4.21,4.35,4.2,4.24,4.27,-0.03,-0.7026,227360.2,96954.368,20210412,4.24,0.8902,2.7901,0.99,12.7478,12.7478,0.8133,0.7858,0.7858,2.8302,2.8302,525028.3986,255390.5861,81487.5856,2226120.4101,1082856.0851,000539,粤电力A,广东,火力发电,主板,19931126
000540.SZ ,20210412,2.9,2.9,2.85,2.86,2.9,-0.04,-1.3793,310112.0,88832.473,20210412,2.86,0.4451,0.8383,0.93,18.0768,49.1613,1.0845,1.5929,2.3538,,,700525.4679,696781.5997,369908.3852,2003502.8382,1992795.3751,000540,中天金融,贵州,多元金融,主板,19940202
000541.SZ ,20210412,6.14,6.14,6.01,6.03,6.12,-0.09,-1.4706,34545.21,20954.354,20210412,6.03,0.3219,0.6394,1.12,26.6257,26.6257,1.3471,2.2532,2.2532,3.068,3.068,139934.6154,107303.8507,54024.0961,843805.7309,647042.2197,000541,佛山照明,广东,家用电器,主板,19931123
000543.SZ ,20210412,4.34,4.51,4.34,4.42,4.33,0.09,2.0785,482399.68,213841.23,20210412,4.42,2.6944,4.8267,1.03,9.8854,9.8854,0.6915,0.5981,0.5981,2.6923,2.6923,226686.3331,179039.5978,99943.4089,1001953.5923,791355.0223,000543,皖能电力,安徽,火力发电,主板,19931220
000544.SZ ,20210412,6.59,6.65,6.53,6.61,6.55,0.06,0.916,60437.2,39909.895,20210412,6.61,0.6201,1.9827,0.65,12.9869,12.9869,1.0302,2.9969,2.9969,3.7821,3.7821,97468.4488,97468.4488,30482.9341,644266.4466,644266.4466,000544,中原环保,河南,环境保护,主板,19931208
000545.SZ ,20210412,3.06,3.08,2.99,3.03,3.05,-0.02,-0.6557,273572.4,82758.736,20210412,3.03,2.8515,4.2264,0.55,119.5518,,1.4925,1.5864,1.8036,0.6601,0.6601,98683.3096,95940.3096,64730.1648,299010.4281,290699.1381,000545,金浦钛业,吉林,化工原料,主板,19931215
