ts_code,trade_date_x,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,trade_date_y,close_y,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,symbol,name,area,industry,market,list_date
000001.SZ ,20210409,21.71,21.72,21.08,21.3,21.56,-0.26,-1.2059,398960.28,849870.878,20210409,21.3,0.2056,0.4638,0.82,14.2888,14.2888,1.405,2.6921,2.6921,1.0235,1.0235,1940591.8198,1940575.4475,860111.3751,41334605.7617,41334257.0318,000001,平安银行,深圳,银行,主板,19910403
000002.SZ ,20210409,29.3,29.32,28.73,28.86,29.17,-0.31,-1.0627,528595.8,1527734.333,20210409,28.86,0.544,0.8164,1.01,8.0762,8.0762,1.4934,0.8,0.8,3.5226,3.5226,1161773.2201,971755.3265,647474.2474,33528775.1321,28044858.7228,000002,万科A,深圳,全国地产,主板,19910129
000004.SZ ,20210409,17.38,17.56,17.21,17.4,17.32,0.08,0.4619,10182.01,17707.833,20210409,17.4,0.8844,1.2956,0.86,926.6134,40.7472,1.9811,26.5312,19.5302,,,16505.2625,11512.5619,7859.0544,287191.5675,200318.5771,000004,国华网安,深圳,软件服务,主板,19910114
000005.SZ ,20210409,2.34,2.34,2.27,2.28,2.32,-0.04,-1.7241,146370.58,33655.482,20210409,2.28,1.3835,1.6654,0.83,13.8158,23.5313,1.4873,4.3674,11.9942,,,105853.6842,105794.6242,87889.9267,241346.4,241211.7432,000005,世纪星源,深圳,环境保护,主板,19901210
000006.SZ ,20210409,5.33,5.36,5.26,5.32,5.33,-0.01,-0.1876,59751.84,31707.316,20210409,5.32,0.4426,0.7025,0.81,8.3063,8.3063,0.9752,2.4472,2.4472,3.3647,3.3647,134999.5046,134999.5046,85060.6898,718197.3645,718197.3645,000006,深振业A,深圳,区域地产,主板,19920427
000007.SZ ,20210409,3.9,3.98,3.87,3.88,3.99,-0.11,-2.7569,160808.0,62895.522,20210409,3.88,5.205,7.4505,0.38,60.3126,,8.2049,31.9893,30.1697,,,34644.8044,30894.8044,21583.4267,134421.8411,119871.8411,000007,全新好,深圳,酒店餐饮,主板,19920413
000008.SZ ,20210409,2.31,2.33,2.3,2.32,2.33,-0.01,-0.4292,96501.65,22302.95,20210409,2.32,0.3621,0.6021,0.8,14.8521,145.8782,0.8976,2.0035,2.4688,0.421,0.421,278079.5346,266518.2273,160276.3816,645144.5203,618322.2873,000008,神州高铁,北京,运输设备,主板,19920507
000009.SZ ,20210409,9.58,9.73,9.52,9.63,9.66,-0.03,-0.3106,548526.59,527898.746,20210409,9.63,2.1499,2.8984,0.76,37.5329,37.5329,3.5883,2.3446,2.3446,0.2077,0.2077,257921.3965,255143.0324,189254.7397,2483783.0483,2457027.402,000009,中国宝安,深圳,综合类,主板,19910625
000010.SZ ,20210409,4.07,4.22,4.07,4.12,4.12,0.0,0.0,88262.0,36637.742,20210409,4.12,1.6903,1.9615,0.41,72.6803,117.1487,7.087,1.7843,2.1317,,,81985.4713,52217.1498,44997.6834,337780.1418,215134.6572,000010,美丽生态,深圳,建筑工程,主板,19951027
000011.SZ ,20210409,13.23,13.49,13.13,13.15,13.36,-0.21,-1.5719,84098.0,111342.533,20210409,13.15,1.5974,4.4966,0.58,9.8139,9.8139,2.1023,1.9095,1.9095,2.7376,2.7376,59597.9092,52647.5543,18702.6342,783712.506,692315.339,000011,深物业A,深圳,区域地产,主板,19920330
000012.SZ ,20210409,7.23,7.4,7.17,7.23,7.23,0.0,0.0,440740.46,319820.456,20210409,7.23,2.2521,2.3564,0.73,41.3867,30.8804,2.1842,2.12,2.1599,0.9682,0.9682,307069.2107,195705.9361,187042.5914,2220110.3934,1414953.918,000012,南玻A,深圳,玻璃,主板,19920228
000014.SZ ,20210409,8.01,8.06,7.97,7.98,8.01,-0.03,-0.3745,14164.01,11328.356,20210409,7.98,0.7022,1.0642,1.03,367.9685,367.9685,1.7999,4.643,4.643,0.1378,0.1378,20170.5187,20170.5187,13309.1796,160960.7392,160960.7392,000014,沙河股份,深圳,全国地产,主板,19920602
000016.SZ ,20210409,6.16,6.17,6.11,6.15,6.14,0.01,0.1629,92729.94,56945.923,20210409,6.15,0.5808,0.8644,0.52,31.0047,31.0047,1.757,0.2941,0.2941,0.813,0.813,240794.5408,159657.43,107282.7368,1480886.4259,981893.1945,000016,深康佳A,深圳,家用电器,主板,19920327
000017.SZ ,20210409,2.85,2.88,2.79,2.86,2.83,0.03,1.0601,30832.08,8718.969,20210409,2.86,1.0176,1.2875,0.99,,,127.3443,20.7419,16.4175,,,55134.7947,30298.1008,23947.2261,157685.5128,86652.5683,000017,*ST中华A,深圳,文教休闲,主板,19920331
000019.SZ ,20210409,7.15,7.26,7.12,7.17,7.23,-0.06,-0.8299,49898.01,35801.113,20210409,7.17,1.1989,1.8434,0.7,22.7335,23.9835,1.8361,0.7472,0.7175,2.7894,2.7894,115253.5254,41618.4832,27068.4852,826367.7771,298404.5245,000019,深粮控股,深圳,其他商业,主板,19921012
000020.SZ ,20210409,9.23,9.3,9.17,9.25,9.26,-0.01,-0.108,9011.0,8309.447,20210409,9.25,0.4974,1.4563,0.61,479.7102,377.7148,7.833,3.63,3.8894,,,28316.1227,18116.5391,6187.5497,261924.135,167577.9867,000020,深华发A,深圳,元器件,主板,19920428
000021.SZ ,20210409,19.6,19.75,19.19,19.35,19.63,-0.28,-1.4264,138147.24,267872.385,20210409,19.35,0.9404,1.6769,0.93,80.8083,33.8254,3.7609,2.1528,1.9053,0.3101,0.3101,147125.9363,146902.4359,82381.6201,2846886.8674,2842562.1347,000021,深科技,深圳,IT设备,主板,19940202
000023.SZ ,20210409,16.35,16.47,16.06,16.2,16.37,-0.17,-1.0385,2208.24,3577.651,20210409,16.2,0.1591,0.3139,0.69,44.2276,,4.7964,1.228,1.3993,0.0617,0.0617,13875.624,13875.624,7034.8941,224785.1088,224785.1088,000023,深天地A,深圳,其他建材,主板,19930429
000025.SZ ,20210409,15.03,15.03,14.76,14.77,14.99,-0.22,-1.4676,19623.12,29105.439,20210409,14.77,0.4996,1.6696,0.83,28.9832,32.6054,4.9259,11.1487,14.4911,0.2844,0.2844,43105.832,39277.832,11753.1327,636673.1386,580133.5786,000025,特力A,深圳,汽车服务,主板,19930621
000026.SZ ,20210409,15.79,16.11,15.71,15.95,15.79,0.16,1.0133,47216.05,75204.243,20210409,15.95,1.3186,2.4201,0.56,23.631,23.631,2.4317,1.6379,1.6379,1.2321,1.2321,43575.1881,35807.4009,19509.6682,695024.2502,571128.0444,000026,飞亚达,深圳,其他商业,主板,19930603
000027.SZ ,20210409,10.05,10.8,9.88,10.44,10.14,0.3,2.9586,1917958.09,1993106.904,20210409,10.44,4.0315,15.3844,0.81,29.1951,12.7887,1.8174,2.3859,2.5165,0.3991,0.3991,475738.9916,475738.9916,124668.8147,4966715.0723,4966715.0723,000027,深圳能源,深圳,火力发电,主板,19930903
000028.SZ ,20210409,42.4,42.43,41.75,41.83,42.4,-0.57,-1.3443,19978.03,83888.947,20210409,41.83,0.5433,1.5618,0.72,12.7746,12.7746,1.2839,0.3002,0.3002,1.4344,1.4344,42812.6983,36773.3625,12791.6361,1790855.1699,1538229.7534,000028,国药一致,深圳,医药商业,主板,19930809
000029.SZ ,20210409,7.53,7.53,7.33,7.35,7.53,-0.18,-2.3904,37710.86,27976.937,20210409,7.35,0.4229,1.5159,0.84,25.62,25.62,1.958,4.6041,4.6041,2.2449,2.2449,101166.0,89166.0,24877.5738,743570.1,655370.1,000029,深深房A,深圳,区域地产,主板,19930915
000030.SZ ,20210409,7.76,7.9,7.67,7.87,7.77,0.1,1.287,54375.97,42417.0,20210409,7.87,0.309,0.9848,0.74,15.9923,14.7186,2.0171,1.4159,1.2589,2.0779,2.0779,181055.2111,175988.087,55216.3837,1424904.5114,1385026.2447,000030,富奥股份,吉林,汽车配件,主板,19930929
000031.SZ ,20210409,3.87,3.9,3.84,3.87,3.89,-0.02,-0.5141,34075.08,13154.481,20210409,3.87,0.1802,0.3297,0.68,,,0.9039,0.4315,0.4315,4.3928,4.3928,428631.3339,189074.8427,103339.4287,1658803.2622,731719.6412,000031,大悦城,深圳,全国地产,主板,19931008
000032.SZ ,20210409,20.98,21.17,20.85,20.96,21.15,-0.19,-0.8983,9450.67,19821.158,20210409,20.96,0.2297,0.5684,0.47,64.6582,68.4805,5.7103,5.7697,6.1862,0.3817,0.3817,41321.9661,41142.4109,16627.1829,866108.4095,862344.9325,000032,深桑达A,深圳,元器件,主板,19931028
000034.SZ ,20210409,17.9,17.96,17.65,17.7,17.91,-0.21,-1.1725,62091.51,110184.418,20210409,17.7,1.2483,1.5554,0.59,18.7059,18.7059,2.4838,0.1268,0.1268,1.1755,1.1755,65956.0727,49742.2474,39919.1932,1167422.4868,880437.779,000034,神州数码,深圳,综合类,主板,19940509
000035.SZ ,20210409,4.46,4.49,4.42,4.48,4.45,0.03,0.6742,56309.84,25114.004,20210409,4.48,0.2295,0.299,0.54,15.8577,13.8083,0.999,0.6083,0.5199,,,252377.7297,245334.5376,188337.8695,1130652.2291,1099098.7284,000035,中国天楹,江苏,环境保护,主板,19940408
000036.SZ ,20210409,4.1,4.1,4.05,4.05,4.08,-0.03,-0.7353,31388.3,12759.52,20210409,4.05,0.2122,0.3181,1.14,7.3509,8.109,1.23,1.8967,1.7471,9.8765,9.8765,148393.4025,147947.443,98660.667,600993.2801,599187.1442,000036,华联控股,深圳,全国地产,主板,19940617
000037.SZ ,20210409,9.36,9.5,9.13,9.22,9.38,-0.16,-1.7058,94757.0,88397.94,20210409,9.22,2.7961,4.735,0.54,86.8025,86.8025,2.7047,5.6406,5.6406,0.2169,0.2169,60276.2596,33889.4011,20012.1057,555747.1135,312460.2781,000037,深南电A,深圳,火力发电,主板,19940701
000038.SZ ,20210409,11.76,12.18,11.45,11.53,11.8,-0.27,-2.2881,105775.49,124472.328,20210409,11.53,4.441,6.7829,2.01,49.2534,28.085,2.1145,3.2851,3.7467,,,52277.7419,23817.7966,15594.5337,602762.3641,274619.1948,000038,深大通,深圳,广告包装,主板,19940808
000039.SZ ,20210409,16.1,17.27,16.01,17.25,16.18,1.07,6.6131,525159.73,882601.235,20210409,17.25,3.4229,4.4345,1.39,11.5922,11.5922,1.5617,0.6586,0.6586,0.6939,0.6939,359501.359,153427.1428,118427.1428,6201398.4428,2646618.2133,000039,中集集团,深圳,轻工机械,主板,19940408
000040.SZ ,20210409,2.85,2.9,2.83,2.83,2.87,-0.04,-1.3937,253222.49,72347.809,20210409,2.83,2.3881,2.8024,0.59,,,0.3185,0.6183,1.4404,,,148687.387,106034.067,90359.3956,420785.3052,300076.4096,000040,东旭蓝天,深圳,新型电力,主板,19940808
000042.SZ ,20210409,8.76,8.87,8.71,8.87,8.78,0.09,1.0251,11867.0,10502.07,20210409,8.87,0.1792,0.6027,2.16,7.4915,,0.7616,0.8175,0.6467,1.3529,1.3529,66483.1139,66234.1514,19689.7971,589705.2203,587496.9229,000042,中洲控股,深圳,全国地产,主板,19940921
000045.SZ ,20210409,8.19,8.25,8.06,8.18,8.2,-0.02,-0.2439,38375.57,31269.994,20210409,8.18,0.8397,1.7213,0.54,111.4516,111.4516,1.5015,1.9695,1.9695,,,50777.2279,45701.7874,22294.8438,415357.7242,373840.6209,000045,深纺织A,深圳,元器件,主板,19940815
000046.SZ ,20210409,2.78,2.81,2.78,2.79,2.79,0.0,0.0,82009.54,22885.973,20210409,2.79,0.1579,0.5427,0.83,13.2415,,0.7088,4.7918,6.3804,3.5842,3.5842,519620.0656,519381.8956,151114.6048,1449739.983,1449075.4887,000046,泛海控股,北京,多元金融,主板,19940912
000048.SZ ,20210409,26.25,26.61,25.81,26.48,26.24,0.24,0.9146,12973.57,33981.552,20210409,26.48,0.3224,1.1895,1.04,12.2991,12.2991,3.8722,2.6177,2.6177,2.8323,2.8323,40249.1731,40242.8671,10906.3325,1065798.1037,1065631.1208,000048,京基智农,深圳,饲料,主板,19941101
000049.SZ ,20210409,70.66,72.79,69.26,70.24,69.19,1.05,1.5176,54526.56,387799.057,20210409,70.24,2.6567,4.8504,2.85,21.7317,21.7317,5.1433,0.7503,0.7503,0.9966,0.9966,20719.7738,20524.3738,11241.6699,1455356.9117,1441632.0157,000049,德赛电池,深圳,电气设备,主板,19950320
000050.SZ ,20210409,14.22,14.35,14.14,14.19,14.21,-0.02,-0.1407,162982.09,231966.839,20210409,14.19,0.7814,1.4685,0.87,23.652,23.652,1.0389,1.193,1.193,0.4698,0.4698,245774.7661,208567.7416,110983.8443,3487543.931,2959576.2533,000050,深天马A,深圳,元器件,主板,19950315
000055.SZ ,20210409,4.43,4.47,4.41,4.42,4.46,-0.04,-0.8969,36101.21,15979.249,20210409,4.42,0.5329,0.824,0.68,12.5904,12.5904,0.8939,1.6145,1.6145,1.1312,1.1312,108827.8951,67741.3379,43811.0662,481019.2963,299416.7135,000055,方大集团,深圳,其他建材,主板,19960415
000056.SZ ,20210409,3.31,3.34,3.01,3.1,3.31,-0.21,-6.3444,355130.98,111820.689,20210409,3.1,3.9296,10.6742,1.43,71.9558,,0.6921,3.8369,4.8971,,,117452.872,90372.8783,33269.9378,364103.9032,280155.9227,000056,皇庭国际,深圳,房产服务,主板,19960708
000058.SZ ,20210409,6.13,6.13,6.05,6.06,6.11,-0.05,-0.8183,26151.86,15858.452,20210409,6.06,0.4858,0.9064,0.67,95.4536,121.7408,3.8386,5.0147,5.1346,0.495,0.495,123565.6249,53828.2117,28852.0597,748807.6869,326198.9629,000058,深赛格,深圳,元器件,主板,19961226
000059.SZ ,20210409,6.19,6.26,6.14,6.24,6.19,0.05,0.8078,212647.57,131995.024,20210409,6.24,1.3295,2.5498,1.33,10.0513,,0.7625,0.252,0.3115,3.766,3.766,159944.2537,159940.9531,83399.0356,998052.1431,998031.5473,000059,华锦股份,辽宁,石油加工,主板,19970130
000060.SZ ,20210409,4.77,4.81,4.7,4.75,4.79,-0.04,-0.8351,617099.87,293258.759,20210409,4.75,1.7291,2.3854,1.3,17.0407,17.0407,1.4664,0.561,0.561,1.5157,1.5157,356992.0299,356883.0449,258694.009,1695712.142,1695194.4633,000060,中金岭南,深圳,铅锌,主板,19970123
000061.SZ ,20210409,5.88,5.89,5.82,5.84,5.88,-0.04,-0.6803,32107.0,18782.517,20210409,5.84,0.1894,0.2871,0.85,31.9512,23.5604,1.8478,3.4737,3.2299,1.0274,1.0274,169696.4131,169542.1233,111850.357,991027.0525,990126.0001,000061,农产品,深圳,农业综合,主板,19970110
000062.SZ ,20210409,12.12,12.2,12.0,12.05,12.16,-0.11,-0.9046,19351.43,23350.299,20210409,12.05,0.1853,0.7804,0.72,20.1812,20.1812,2.2764,0.7717,0.7717,1.2448,1.2448,104590.9322,104455.2962,24797.728,1260320.733,1258686.3192,000062,深圳华强,深圳,批发业,主板,19970130
