ts_code,trade_date_x,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,trade_date_y,close_y,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,symbol,name,area,industry,market,list_date
000001.SZ ,20210414,20.79,20.94,20.42,20.67,20.78,-0.11,-0.5294,537438.49,1113001.541,20210414,20.67,0.2769,0.6248,1.12,13.8662,13.8662,1.3635,2.6124,2.6124,1.0547,1.0547,1940591.8198,1940575.4475,860111.3751,40112032.9153,40111694.4998,000001,平安银行,深圳,银行,主板,19910403
000002.SZ ,20210414,28.4,28.85,28.31,28.76,28.29,0.47,1.6614,544164.59,1559705.23,20210414,28.76,0.56,0.8404,0.92,8.0482,8.0482,1.4882,0.7972,0.7972,3.5348,3.5348,1161773.2201,971755.3265,647474.2474,33412597.8101,27947683.1901,000002,万科A,深圳,全国地产,主板,19910129
000004.SZ ,20210414,19.46,20.4,18.6,18.98,18.8,0.18,0.9574,109546.14,211397.794,20210414,18.98,9.5154,13.9388,6.38,1010.7541,44.4472,2.161,28.9404,21.3036,,,16505.2625,11512.5619,7859.0544,313269.8823,218508.4249,000004,国华网安,深圳,软件服务,主板,19910114
000005.SZ ,20210414,2.24,2.29,2.21,2.28,2.25,0.03,1.3333,84804.39,19044.819,20210414,2.28,0.8016,0.9649,0.62,13.8158,23.5313,1.4873,4.3674,11.9942,,,105853.6842,105794.6242,87889.9267,241346.4,241211.7432,000005,世纪星源,深圳,环境保护,主板,19901210
000006.SZ ,20210414,5.28,5.35,5.26,5.34,5.28,0.06,1.1364,44003.05,23386.889,20210414,5.34,0.3259,0.5173,0.63,8.3376,8.3376,0.9789,2.4564,2.4564,3.3521,3.3521,134999.5046,134999.5046,85060.6898,720897.3546,720897.3546,000006,深振业A,深圳,区域地产,主板,19920427
000007.SZ ,20210414,3.73,3.81,3.73,3.8,3.73,0.07,1.8767,90438.5,34108.362,20210414,3.8,2.9273,4.1902,0.4,59.0691,,8.0357,31.3298,29.5476,,,34644.8044,30894.8044,21583.4267,131650.2567,117400.2567,000007,全新好,深圳,酒店餐饮,主板,19920413
000008.SZ ,20210414,2.29,2.32,2.28,2.31,2.3,0.01,0.4348,102306.41,23572.809,20210414,2.31,0.3839,0.6383,0.75,14.788,145.2494,0.8937,1.9948,2.4582,0.4229,0.4229,278079.5346,266518.2273,160276.3816,642363.7249,615657.1051,000008,神州高铁,北京,运输设备,主板,19920507
000009.SZ ,20210414,9.64,10.02,9.61,9.91,9.68,0.23,2.376,566038.0,560071.405,20210414,9.91,2.2185,2.994,0.77,38.6242,38.6242,3.6926,2.4127,2.4127,0.2018,0.2018,257921.3965,255143.0324,189054.7397,2556001.0393,2528467.4511,000009,中国宝安,深圳,综合类,主板,19910625
000010.SZ ,20210414,4.04,4.44,3.99,4.44,4.04,0.4,9.901,326914.07,140248.335,20210414,4.44,6.2607,7.2651,3.04,78.3253,126.2476,7.6375,1.9229,2.2973,,,81985.4713,52217.1498,44997.6834,364015.4926,231844.1451,000010,美丽生态,深圳,建筑工程,主板,19951027
000011.SZ ,20210414,12.35,13.0,12.32,12.84,12.4,0.44,3.5484,96429.95,122927.286,20210414,12.84,1.8316,5.156,0.7,9.5826,9.5826,2.0527,1.8644,1.8644,2.8037,2.8037,59597.9092,52647.5543,18702.6342,765237.1541,675994.5972,000011,深物业A,深圳,区域地产,主板,19920330
000012.SZ ,20210414,6.97,7.05,6.85,6.98,6.98,0.0,0.0,364798.81,253691.017,20210414,6.98,1.864,1.9504,0.57,39.9556,29.8126,2.1086,2.0467,2.0852,1.0029,1.0029,307069.2107,195705.9361,187042.5914,2143343.0907,1366027.434,000012,南玻A,深圳,玻璃,主板,19920228
000014.SZ ,20210414,7.8,7.87,7.75,7.86,7.84,0.02,0.2551,7466.03,5836.592,20210414,7.86,0.3701,0.561,0.49,362.4352,362.4352,1.7729,4.5732,4.5732,0.1399,0.1399,20170.5187,20170.5187,13309.1796,158540.277,158540.277,000014,沙河股份,深圳,全国地产,主板,19920602
000016.SZ ,20210414,6.08,6.1,6.04,6.09,6.07,0.02,0.3295,74797.69,45497.555,20210414,6.09,0.4685,0.6972,0.67,30.7022,30.7022,1.7398,0.2912,0.2912,0.821,0.821,240794.5408,159657.43,107282.7368,1466438.7535,972313.7487,000016,深康佳A,深圳,家用电器,主板,19920327
000017.SZ ,20210414,2.8,2.87,2.79,2.87,2.81,0.06,2.1352,15541.97,4423.892,20210414,2.87,0.513,0.649,0.52,,,127.7896,20.8144,16.4749,,,55134.7947,30298.1008,23947.2261,158236.8608,86955.5493,000017,*ST中华A,深圳,文教休闲,主板,19920331
000019.SZ ,20210414,6.97,7.0,6.87,6.96,6.95,0.01,0.1439,31560.3,21917.197,20210414,6.96,0.7583,1.1659,0.5,22.0677,23.281,1.7823,0.7253,0.6965,2.8736,2.8736,115253.5254,41618.4832,27068.4852,802164.5368,289664.6431,000019,深粮控股,深圳,其他商业,主板,19921012
000020.SZ ,20210414,9.2,9.2,9.01,9.08,9.09,-0.01,-0.11,6137.0,5584.901,20210414,9.08,0.3388,0.9918,0.52,470.8939,370.773,7.6891,3.5633,3.8179,,,28316.1227,18116.5391,6187.5497,257110.3941,164498.175,000020,深华发A,深圳,元器件,主板,19920428
000021.SZ ,20210414,19.35,19.36,19.19,19.28,19.29,-0.01,-0.0518,84267.83,162473.377,20210414,19.28,0.5736,1.0229,0.71,80.516,33.703,3.7473,2.1451,1.8984,0.3112,0.3112,147125.9363,146902.4359,82381.6201,2836588.0519,2832278.9642,000021,深科技,深圳,IT设备,主板,19940202
000023.SZ ,20210414,15.58,15.83,15.35,15.75,15.58,0.17,1.0911,2353.09,3677.108,20210414,15.75,0.1696,0.3345,0.57,42.9991,,4.6632,1.1939,1.3604,0.0635,0.0635,13875.624,13875.624,7034.8941,218541.078,218541.078,000023,深天地A,深圳,其他建材,主板,19930429
000025.SZ ,20210414,14.83,15.14,14.83,14.96,14.63,0.33,2.2556,24037.65,36020.326,20210414,14.96,0.612,2.0452,1.24,29.356,103.9237,4.9042,11.2921,15.2244,0.2807,0.2807,43105.832,39277.832,11753.1327,644863.2467,587596.3667,000025,特力A,深圳,汽车服务,主板,19930621
000026.SZ ,20210414,14.32,15.31,14.32,15.27,14.48,0.79,5.4558,108492.41,162776.648,20210414,15.27,3.0309,5.5643,1.43,22.6236,15.6448,2.2851,1.5681,1.322,1.287,1.287,43575.1881,35795.7579,19498.0252,665393.1223,546601.2231,000026,飞亚达,深圳,其他商业,主板,19930603
000027.SZ ,20210414,9.65,9.95,9.4,9.82,10.01,-0.19,-1.8981,1292258.85,1256684.834,20210414,9.82,2.7163,10.3655,0.56,27.4613,12.0292,1.7095,2.2442,2.3671,0.4243,0.4243,475738.9916,475738.9916,124668.8147,4671756.8975,4671756.8975,000027,深圳能源,深圳,火力发电,主板,19930903
000028.SZ ,20210414,41.55,42.16,41.48,42.02,41.75,0.27,0.6467,18633.98,78094.493,20210414,42.02,0.5067,1.4567,0.73,12.8326,12.8326,1.2898,0.3016,0.3016,1.4279,1.4279,42812.6983,36773.3625,12791.6361,1798989.5826,1545216.6923,000028,国药一致,深圳,医药商业,主板,19930809
000029.SZ ,20210414,7.4,7.43,7.29,7.42,7.36,0.06,0.8152,27448.89,20221.023,20210414,7.42,0.3078,1.1034,0.59,25.864,25.864,1.9767,4.648,4.648,2.2237,2.2237,101166.0,89166.0,24877.5738,750651.72,661611.72,000029,深深房A,深圳,区域地产,主板,19930915
000030.SZ ,20210414,7.56,7.57,7.18,7.39,7.54,-0.15,-1.9894,91926.93,67451.239,20210414,7.39,0.5223,1.6648,1.49,15.0169,13.8209,1.8941,1.3295,1.1821,2.2129,2.2129,181055.2111,175988.087,55216.3837,1337998.01,1300551.9629,000030,富奥股份,吉林,汽车配件,主板,19930929
000031.SZ ,20210414,3.9,3.93,3.86,3.9,3.9,0.0,0.0,39793.99,15516.993,20210414,3.9,0.2105,0.3851,0.74,,,0.9109,0.4348,0.4348,4.359,4.359,428631.3339,189074.8427,103339.4287,1671662.2022,737391.8865,000031,大悦城,深圳,全国地产,主板,19931008
000032.SZ ,20210414,20.94,21.23,20.75,20.93,20.95,-0.02,-0.0955,6203.77,13008.851,20210414,20.93,0.1508,0.3731,0.49,64.5656,68.3824,5.7021,5.7615,6.1773,0.3822,0.3822,41321.9661,41142.4109,16627.1829,864868.7505,861110.6601,000032,深桑达A,深圳,元器件,主板,19931028
000034.SZ ,20210414,17.61,17.7,16.95,17.56,17.71,-0.15,-0.847,77251.65,134089.352,20210414,17.56,1.553,1.9352,1.03,18.558,18.558,2.4642,0.1258,0.1258,1.1849,1.1849,65956.0727,49742.2474,39919.1932,1158188.6366,873473.8643,000034,神州数码,深圳,综合类,主板,19940509
000035.SZ ,20210414,4.37,4.4,4.37,4.39,4.37,0.02,0.4577,36990.75,16208.77,20210414,4.39,0.1508,0.1964,0.42,15.5391,13.5309,0.979,0.5961,0.5095,,,252377.7297,245334.5376,188337.8695,1107938.2334,1077018.6201,000035,中国天楹,江苏,环境保护,主板,19940408
000036.SZ ,20210414,3.9,3.9,3.77,3.8,4.02,-0.22,-5.4726,137333.76,52346.9,20210414,3.8,0.9283,1.392,3.91,6.8972,10.2081,1.1493,1.7796,2.0846,10.5263,10.5263,148393.4025,147947.443,98660.667,563894.9295,562200.2834,000036,华联控股,深圳,全国地产,主板,19940617
000037.SZ ,20210414,8.77,8.85,8.55,8.79,8.75,0.04,0.4571,71368.99,62267.67,20210414,8.79,2.1059,3.5663,0.53,82.7543,82.7543,2.5786,5.3776,5.3776,0.2275,0.2275,60276.2596,33889.4011,20012.1057,529828.3219,297887.8357,000037,深南电A,深圳,火力发电,主板,19940701
000038.SZ ,20210414,10.5,10.93,10.38,10.78,10.54,0.24,2.277,28440.88,30413.175,20210414,10.78,1.1941,1.8238,0.37,70.8548,70.8548,1.9643,2.6455,2.6455,,,52277.7419,23817.7966,15594.5337,563554.0577,256755.8473,000038,深大通,深圳,广告包装,主板,19940808
000039.SZ ,20210414,16.7,17.08,16.58,16.93,16.79,0.14,0.8338,188573.95,317394.904,20210414,16.93,1.2291,1.5923,0.46,11.3772,11.3772,1.5327,0.6464,0.6464,0.707,0.707,359501.359,153427.1428,118427.1428,6086358.0079,2597521.5276,000039,中集集团,深圳,轻工机械,主板,19940408
000040.SZ ,20210414,2.72,2.76,2.68,2.75,2.71,0.04,1.476,228055.78,62001.269,20210414,2.75,2.1508,2.5239,0.66,,,0.3095,0.6008,1.3997,,,148687.387,106034.067,90359.3956,408890.3143,291593.6843,000040,东旭蓝天,深圳,新型电力,主板,19940808
000042.SZ ,20210414,8.79,8.81,8.42,8.54,8.83,-0.29,-3.2843,14195.88,12195.274,20210414,8.54,0.2142,0.7197,1.79,20.18,20.18,0.7211,0.5308,0.5308,1.4052,1.4052,66483.1139,66268.7964,19724.4421,567765.7927,565935.5213,000042,中洲控股,深圳,全国地产,主板,19940921
000045.SZ ,20210414,7.97,8.3,7.92,8.22,7.93,0.29,3.657,58015.0,47478.545,20210414,8.22,1.2694,2.6022,1.05,111.9966,111.9966,1.5089,1.9791,1.9791,,,50777.2279,45701.7874,22294.8438,417388.8133,375668.6924,000045,深纺织A,深圳,元器件,主板,19940815
000046.SZ ,20210414,2.79,2.8,2.77,2.79,2.8,-0.01,-0.3571,65693.3,18304.351,20210414,2.79,0.1265,0.4347,0.56,13.2415,,0.7088,4.7918,6.3804,3.5842,3.5842,519620.0656,519381.8956,151114.6048,1449739.983,1449075.4887,000046,泛海控股,北京,多元金融,主板,19940912
000048.SZ ,20210414,27.0,27.09,26.4,26.65,27.0,-0.35,-1.2963,11945.46,31900.832,20210414,26.65,0.2968,1.0953,0.9,12.3781,12.3781,3.8971,2.6345,2.6345,2.8143,2.8143,40249.1731,40242.8671,10906.3325,1072640.4631,1072472.4082,000048,京基智农,深圳,饲料,主板,19941101
000049.SZ ,20210414,67.89,69.63,67.37,68.45,67.85,0.6,0.8843,20493.03,140577.723,20210414,68.45,0.9985,1.823,0.63,21.1779,21.1779,5.0123,0.7311,0.7311,1.0226,1.0226,20719.7738,20524.3738,11241.6699,1418268.5166,1404893.3866,000049,德赛电池,深圳,电气设备,主板,19950320
000050.SZ ,20210414,13.88,14.32,13.87,14.18,13.88,0.3,2.1614,206174.16,291869.478,20210414,14.18,0.9885,1.8577,1.02,23.6354,23.6354,1.0382,1.1922,1.1922,0.4701,0.4701,245774.7661,208567.7416,110983.8443,3485086.1833,2957490.5759,000050,深天马A,深圳,元器件,主板,19950315
000055.SZ ,20210414,4.36,4.39,4.31,4.39,4.35,0.04,0.9195,35713.89,15532.34,20210414,4.39,0.5272,0.8152,0.76,12.505,12.505,0.8879,1.6036,1.6036,1.139,1.139,108827.8951,67741.3379,43811.0662,477754.4595,297384.4734,000055,方大集团,深圳,其他建材,主板,19960415
000056.SZ ,20210414,3.29,3.63,3.2,3.3,3.3,0.0,0.0,385920.46,130800.318,20210414,3.3,4.2703,11.5997,0.99,76.5981,,0.7368,4.0844,5.2131,,,117452.872,90372.8783,33269.9378,387594.4776,298230.4984,000056,皇庭国际,深圳,房产服务,主板,19960708
000058.SZ ,20210414,5.84,5.94,5.84,5.93,5.87,0.06,1.0221,18108.04,10693.563,20210414,5.93,0.3364,0.6276,0.54,93.4059,119.1292,3.7563,4.9071,5.0245,0.5059,0.5059,123565.6249,53828.2117,28852.0597,732744.1557,319201.2954,000058,深赛格,深圳,元器件,主板,19961226
