ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
603389.SH,20210908,亚振家居,家居用品,主板,5.34,5.84,5.84,5.31,5.31,0.53,9.98,2.02,2.23,91.82,2.37,29990.31,20161215
000422.SZ,20210908,湖北宜化,农药化肥,主板,19.65,21.60,21.60,19.00,19.64,1.96,9.98,9.68,0.96,167.49,18.30,1813769.75,19960815
600691.SH,20210908,阳煤化工,农药化肥,主板,4.79,5.29,5.29,4.75,4.81,0.48,9.98,8.00,1.68,97.48,2.14,732089.94,19931119
600780.SH,20210908,通宝能源,火力发电,主板,4.23,4.63,4.63,4.23,4.21,0.42,9.98,3.19,2.23,17.70,0.94,163570.27,19961205
600273.SH,20210908,嘉化能源,化工原料,主板,12.40,13.01,13.01,12.16,11.83,1.18,9.97,9.90,4.41,14.30,2.26,1814408.54,20030627
000918.SZ,20210908,嘉凯城,全国地产,主板,3.97,4.30,4.30,3.92,3.91,0.39,9.97,2.21,3.08,0.00,4.19,166553.63,19990720
002827.SZ,20210908,高争民爆,化工原料,中小板,10.33,11.36,11.36,10.33,10.33,1.03,9.97,2.66,2.78,85.17,4.28,81312.76,20161209
000968.SZ,20210908,蓝焰控股,煤炭开采,主板,9.77,10.81,10.81,9.69,9.83,0.98,9.97,3.61,1.17,83.76,2.28,371712.75,20000622
600135.SH,20210908,乐凯胶片,化工原料,主板,7.64,8.39,8.39,7.59,7.63,0.76,9.96,5.07,2.84,124.61,1.79,175354.60,19980122
002647.SZ,20210908,仁东控股,多元金融,中小板,7.49,8.28,8.28,7.45,7.53,0.75,9.96,12.32,2.71,0.00,9.18,554636.42,20111228
600768.SH,20210908,宁波富邦,铝,主板,9.50,10.05,10.05,9.31,9.14,0.91,9.96,7.64,6.73,0.00,6.16,101864.02,19961111
000966.SZ,20210908,长源电力,火力发电,主板,8.58,9.39,9.39,8.58,8.54,0.85,9.95,5.85,1.00,67.59,2.78,593940.05,20000316
600163.SH,20210908,中闽能源,新型电力,主板,9.15,9.28,9.28,9.06,8.44,0.84,9.95,14.72,1.31,32.26,4.06,1361247.90,19980602
