ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
生物制药,2,69.70,69.70,4.28,4.28,20210426
铝,1,32.51,32.51,1.81,1.81,20210426
轻工机械,1,0.00,0.00,1.83,1.83,20210426
软件服务,1,155.76,155.76,4.36,4.36,20210426
煤炭开采,1,11.53,11.53,1.40,1.40,20210426
石油贸易,1,35.29,35.29,3.67,3.67,20210426
电器仪表,1,84.17,84.17,4.92,4.92,20210426
0,1,0.00,0.00,0.00,0.00,20210426
文教休闲,1,41.78,41.78,4.61,4.61,20210426
机械基件,1,50.69,50.69,4.49,4.49,20210426
互联网,1,13.63,13.63,2.22,2.22,20210426
建筑工程,1,18.79,18.79,1.96,1.96,20210426
家居用品,1,63.30,63.30,1.83,1.83,20210426
半导体,1,93.27,93.27,8.85,8.85,20210426
其他建材,1,23.12,23.12,1.88,1.88,20210426
其他商业,1,127.01,127.01,2.61,2.61,20210426
公共交通,1,10.04,10.04,1.57,1.57,20210426
元器件,1,0.00,0.00,3.58,3.58,20210426
食品,1,37.20,37.20,3.19,3.19,20210426
