ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
600063.SH,20210907,皖维高新,化纤,主板,8.33,9.15,9.15,8.33,8.32,0.83,9.98,6.67,0.69,28.83,3.01,1151269.68,19970528
600958.SH,20210907,东方证券,证券,主板,16.26,18.08,18.08,16.17,16.44,1.64,9.98,6.30,1.08,46.44,2.26,6265920.75,20150323
002748.SZ,20210907,世龙实业,化工原料,中小板,7.71,8.50,8.50,7.64,7.73,0.77,9.96,1.43,1.01,0.00,2.05,28277.85,20150319
601918.SH,20210907,新集能源,煤炭开采,主板,5.82,6.30,6.30,5.74,5.73,0.57,9.95,8.44,1.59,19.27,2.03,1338193.94,20071219
600423.SH,20210907,柳化股份,农药化肥,主板,3.72,4.09,4.09,3.68,3.72,0.37,9.95,2.11,2.51,256.89,7.87,67216.61,20030717
000698.SZ,20210907,沈阳化工,化工原料,主板,6.76,7.41,7.41,6.74,6.74,0.67,9.94,8.37,1.43,16.99,1.39,475143.31,19970220
000761.SZ,20210907,本钢板材,普钢,主板,6.72,7.41,7.41,6.65,6.74,0.67,9.94,2.47,1.32,74.92,1.30,625385.63,19980115
002165.SZ,20210907,红宝丽,化工原料,中小板,5.03,5.53,5.53,5.02,5.03,0.50,9.94,5.03,2.85,33.83,1.85,158594.97,20070913
002476.SZ,20210907,宝莫股份,化工原料,中小板,4.31,4.65,4.65,4.27,4.23,0.42,9.93,3.70,2.73,215.88,3.42,102949.15,20100915
600688.SH,20210907,上海石化,石油加工,主板,4.35,4.54,4.54,4.14,4.13,0.41,9.93,4.16,3.38,78.23,1.67,1325776.46,19931108
603077.SH,20210907,和邦生物,化工原料,主板,3.31,3.66,3.66,3.30,3.33,0.33,9.91,7.50,0.90,789.46,2.66,2349979.38,20120731
600581.SH,20210907,八一钢铁,普钢,主板,8.25,9.21,9.22,8.16,8.38,0.83,9.90,8.80,1.17,44.64,2.45,1183309.98,20020816
600777.SH,20210907,新潮能源,石油开采,主板,2.02,2.22,2.22,1.98,2.02,0.20,9.90,8.47,0.98,0.00,1.26,1117461.33,19961121
industry,count,pe_mean,pe_median,pb_mean,pb_median,trade_date
化工原料,22,140.85,53.09,4.69,3.30,20210907
电气设备,5,1401.59,171.00,6.62,5.90,20210907
专用机械,4,65.67,52.91,5.22,5.21,20210907
煤炭开采,4,23.27,23.20,2.26,2.35,20210907
玻璃,3,29.35,35.75,4.02,4.43,20210907
焦炭加工,3,143.20,87.87,6.41,1.97,20210907
互联网,3,26.00,0.00,2.82,3.40,20210907
普钢,3,49.62,44.64,1.58,1.30,20210907
食品,3,29.12,27.85,4.12,4.59,20210907
元器件,3,57.71,50.60,3.47,3.86,20210907
农药化肥,3,148.89,177.77,5.06,6.07,20210907
供气供热,3,27.09,24.60,3.43,3.53,20210907
机械基件,2,32.55,32.55,3.19,3.19,20210907
建筑工程,2,27.10,27.10,2.70,2.70,20210907
特种钢,2,26.73,26.73,4.28,4.28,20210907
化纤,2,35.69,35.69,2.78,2.78,20210907
化学制药,2,27.79,27.79,2.50,2.50,20210907
新型电力,2,91.56,91.56,2.80,2.80,20210907
证券,2,32.29,32.29,2.04,2.04,20210907
软件服务,2,148.78,148.78,3.95,3.95,20210907
家居用品,2,21.53,21.53,2.19,2.19,20210907
通信设备,1,31.32,31.32,4.07,4.07,20210907
船舶,1,87.28,87.28,2.46,2.46,20210907
航空,1,37.15,37.15,2.39,2.39,20210907
纺织,1,0.00,0.00,1.87,1.87,20210907
石油开采,1,0.00,0.00,1.26,1.26,20210907
铅锌,1,116.47,116.47,7.17,7.17,20210907
铜,1,37.73,37.73,2.70,2.70,20210907
铝,1,40.71,40.71,2.30,2.30,20210907
石油加工,1,78.23,78.23,1.67,1.67,20210907
化工机械,1,697.75,697.75,2.71,2.71,20210907
电器仪表,1,37.97,37.97,5.67,5.67,20210907
农业综合,1,32.32,32.32,3.06,3.06,20210907
汽车配件,1,75.79,75.79,7.21,7.21,20210907
水运,1,359.50,359.50,8.32,8.32,20210907
水力发电,1,36.30,36.30,2.15,2.15,20210907
工程机械,1,218.13,218.13,2.54,2.54,20210907
小金属,1,50.71,50.71,4.27,4.27,20210907
多元金融,1,26.82,26.82,2.57,2.57,20210907
商贸代理,1,22.34,22.34,2.37,2.37,20210907
半导体,1,167.16,167.16,6.60,6.60,20210907
区域地产,1,4.91,4.91,0.69,0.69,20210907
其他商业,1,144.82,144.82,10.77,10.77,20210907
Trade_Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
20210907,氟化工,环氧丙烷,磷化工,钴,煤炭概念,云游戏,煤化工,草甘膦,有机硅,丙烯酸,石墨电极,新三板精选层概念,稀缺资源,消毒剂,染料,特钢概念,小金属概念,锂电池,碳纤维,电子竞技
20210907,6.6369,5.1211,4.9862,4.8473,4.8285,4.4943,4.4275,4.3867,4.1628,4.1603,4.0264,3.5928,3.548,3.4147,3.279,3.1701,3.1094,3.0166,2.9561,2.891
