ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb,,,
002435.SZ,20210421,长江健康,化学制药,中小板,5.6,5.85,5.32,0.53,9.96,3.09,0.74,0,1.4,210967.71,20100618
002688.SZ,20210421,金河生物,化学制药,中小板,6.13,6.74,6.13,0.61,9.95,6.9,4.45,36.5,2.52,281265.61,20120713
000812.SZ,20210421,陕西金叶,广告包装,主板,4.21,4.65,4.23,0.42,9.93,6.24,0.7,139.83,2.47,189592.48,19980623
600815.SH,20210421,厦工股份,工程机械,主板,2.83,3.1,2.82,0.28,9.93,1.92,2.12,146.27,4.02,104161.09,19940128
000545.SZ,20210421,金浦钛业,化工原料,主板,3.02,3.33,3.03,0.3,9.9,9.43,3.07,131.39,1.82,289765.66,19931215
industry,count,pe_mean,pe_median,pb_mean,pb_median,,,,,,,,,,
汽车配件,4,26.71,33.65,2.33,2.31,,,,,,,,,,
中成药,4,56.7,45.71,5.96,3.91,,,,,,,,,,
元器件,3,72.1,84.56,8.01,9.48,,,,,,,,,,
化学制药,3,32.8,36.5,1.77,1.41,,,,,,,,,,
专用机械,2,45.35,45.35,5.94,5.94,,,,,,,,,,
医疗保健,2,343.68,343.68,1.69,1.69,,,,,,,,,,
白酒,2,48.59,48.59,19.78,19.78,,,,,,,,,,
服饰,2,166.55,166.55,3.72,3.72,,,,,,,,,,
工程机械,2,82.04,82.04,2.96,2.96,,,,,,,,,,
化工原料,2,79.95,79.95,2.55,2.55,,,,,,,,,,
医药商业,1,24.48,24.48,2.28,2.28,,,,,,,,,,
玻璃,1,859.45,859.45,3.07,3.07,,,,,,,,,,
通信设备,1,35.73,35.73,6.83,6.83,,,,,,,,,,
软件服务,1,43.68,43.68,4.12,4.12,,,,,,,,,,
装修装饰,1,53.88,53.88,4.46,4.46,,,,,,,,,,
综合类,1,215.59,215.59,13.83,13.83,,,,,,,,,,
矿物制品,1,41.4,41.4,3.27,3.27,,,,,,,,,,
乳制品,1,0,0,4.65,4.65,,,,,,,,,,
互联网,1,74.52,74.52,2.02,2.02,,,,,,,,,,
塑料,1,52.33,52.33,4.73,4.73,,,,,,,,,,
文教休闲,1,31.39,31.39,3.47,3.47,,,,,,,,,,
广告包装,1,139.83,139.83,2.47,2.47,,,,,,,,,,
区域地产,1,29.57,29.57,1.85,1.85,,,,,,,,,,
家用电器,1,23.15,23.15,4.04,4.04,,,,,,,,,,
多元金融,1,112.27,112.27,3.75,3.75,,,,,,,,,,
食品,1,27.93,27.93,2.39,2.39,,,,,,,,,,
