market,up,down,amount,limit up,new limit up
全部,1359,2767,84525197,47,2
主板,978,1966,65464047,44,1
创业板,294,627,15856568,1,0
科创板,87,174,3204581,2,1
ts_code,trade_date,name,industry,market,open,close,pre_close,change,pct_chg,turnover_rate,volume_ratio,pe,pb,amount,list_date
影视音像,1,116.50,116.50,4.22,4.22
建筑工程,1,53.05,53.05,1.89,1.89
小金属,1,0.00,0.00,5.60,5.60
家用电器,1,21.04,21.04,3.67,3.67
医疗保健,1,31.86,31.86,6.76,6.76
化工原料,1,42.83,42.83,2.09,2.09
化学制药,1,0.00,0.00,1.27,1.27
出版业,1,22.74,22.74,2.34,2.34
互联网,1,67.05,67.05,5.85,5.85
食品,1,0.00,0.00,2.47,2.47
